option_type,strategy_label,protocol,protocol_label,hit_rate,brier,calib_slope,mean_gross_bp,sr_gross,mean_net_bp,sr_net,obs,min_train_days,rolling_window,representative_moneyness,max_moneyness_dev
strangle,Strangle/Straddle,expanding,Expanding (252d),0.6847507331378299,0.2143489488517656,0.18344576272957785,1.0142904943845363,0.329265340279722,-0.8894183103900397,-0.2913411399615904,682,252,252,True,0.01
strangle,Strangle/Straddle,rolling,Rolling (252d),0.6847507331378299,0.21388064561542003,0.19027985113929255,2.126182265646297,0.6907198528603743,0.22247346087172207,0.07263358171867897,682,252,252,True,0.01
iron_condor,Iron Butterfly/Condor,expanding,Expanding (252d),0.6539589442815249,0.2202491725908093,0.7427097709331653,0.35272826892107684,0.651644361211276,-3.161968538981061,-4.127400535867622,682,252,252,True,0.01
iron_condor,Iron Butterfly/Condor,rolling,Rolling (252d),0.658357771260997,0.22404401322196799,0.5809479475449878,0.5893236903839691,1.090389688337009,-2.925373117518169,-3.799376272568736,682,252,252,True,0.01
risk_reversal,Risk Reversal,expanding,Expanding (252d),0.6788856304985337,0.22106724580080475,0.2956007280041629,2.0120244002855,0.4799722921927921,0.10831559551092462,0.02567649342623155,682,252,252,True,0.01
risk_reversal,Risk Reversal,rolling,Rolling (252d),0.6818181818181818,0.2113261156573678,0.4663970428464148,-0.4466491808304232,-0.1065026813148392,-2.3503579856049996,-0.5547144211261381,682,252,252,True,0.01
bull_call_spread,Bull Call Spread,expanding,Expanding (252d),0.6011730205278593,0.241121636908028,0.3199067810586724,0.736474528452137,0.5565334273057844,-1.3909431107014882,-1.0397846586785648,682,252,252,True,0.01
bull_call_spread,Bull Call Spread,rolling,Rolling (252d),0.5806451612903226,0.24936707868821142,0.1275787335579936,0.5021380245844751,0.3793269057083435,-1.6252796145691502,-1.2199185284081902,682,252,252,True,0.01
call_ratio_spread,Call Ratio Spread,expanding,Expanding (252d),0.592375366568915,0.2500043674352512,0.17025493424816254,-1.4101663181443547,-0.5975397946072217,-4.218102823477986,-1.6932824505646613,682,252,252,True,0.01
call_ratio_spread,Call Ratio Spread,rolling,Rolling (252d),0.5953079178885631,0.2505934715584114,0.23020237048875097,-1.5145136351058657,-0.6418255122893681,-4.322450140439496,-1.733572585277007,682,252,252,True,0.01
bear_put_spread,Bear Put Spread,expanding,Expanding (252d),0.6461086637298091,0.23073806308435243,0.10052055480194784,0.10025660567221231,0.07457360187201183,-2.137486623284434,-1.5180208986910002,681,252,252,True,0.01
bear_put_spread,Bear Put Spread,rolling,Rolling (252d),0.6343612334801763,0.23492980239602787,0.09613742294712485,0.03636134695790738,0.0270463035427979,-2.201381881998739,-1.5658414088972215,681,252,252,True,0.01
put_ratio_spread,Put Ratio Spread,expanding,Expanding (252d),0.6505139500734214,0.22138385680782835,1.0120046640858769,1.555816869670721,0.7738275579828674,-1.405440176963499,-0.7032025762310735,681,252,252,True,0.01
put_ratio_spread,Put Ratio Spread,rolling,Rolling (252d),0.6519823788546255,0.22338523252109632,0.6982988002143522,1.8616911935621407,0.9264385853204826,-1.0995658530720795,-0.5473086966800831,681,252,252,True,0.01
